2001 Scottish National Park Populations - Data Zone Based,,,,,,,,,,,
,,,,,,,,,,,
,CODE,NATIONAL PARK NAME,DZ,DATA ZONE POPULATION,,,CODE,NATIONAL PARK NAME,DZ,DATA ZONE POPULATION,
,1,The Cairngorms National Park,S01000312,646,,,2,The Loch Lomond and The Trossachs National Park,S01006163,980,
,1,The Cairngorms National Park,S01000303,617,,,2,The Loch Lomond and The Trossachs National Park,S01006150,987,
,1,The Cairngorms National Park,S01004233,633,,,2,The Loch Lomond and The Trossachs National Park,S01006083,919,
,1,The Cairngorms National Park,S01000316,800,,,2,The Loch Lomond and The Trossachs National Park,S01006081,775,
,1,The Cairngorms National Park,S01000360,514,,,2,The Loch Lomond and The Trossachs National Park,S01000804,985,
,1,The Cairngorms National Park,S01003743,580,,,2,The Loch Lomond and The Trossachs National Park,S01006168,783,
,1,The Cairngorms National Park,S01003747,982,,,2,The Loch Lomond and The Trossachs National Park,S01000796,555,
,1,The Cairngorms National Park,S01003748,591,,,2,The Loch Lomond and The Trossachs National Park,S01006292,890,
,1,The Cairngorms National Park,S01003749,819,,,2,The Loch Lomond and The Trossachs National Park,S01000800,1004,
,1,The Cairngorms National Park,S01003750,615,,,2,The Loch Lomond and The Trossachs National Park,S01006170,970,
,1,The Cairngorms National Park,S01003751,951,,,2,The Loch Lomond and The Trossachs National Park,S01006171,906,
,1,The Cairngorms National Park,S01003772,574,,,2,The Loch Lomond and The Trossachs National Park,S01006172,523,
,1,The Cairngorms National Park,S01003755,724,,,2,The Loch Lomond and The Trossachs National Park,S01006173,622,
,1,The Cairngorms National Park,S01003756,728,,,2,The Loch Lomond and The Trossachs National Park,S01006175,778,
,1,The Cairngorms National Park,S01003759,615,,,2,The Loch Lomond and The Trossachs National Park,S01006293,976,
,1,The Cairngorms National Park,S01003760,758,,,2,The Loch Lomond and The Trossachs National Park,S01006294,650,
,1,The Cairngorms National Park,S01003764,859,,,2,The Loch Lomond and The Trossachs National Park,S01000785,797,
,1,The Cairngorms National Park,S01003766,611,,,2,The Loch Lomond and The Trossachs National Park,S01006174,585,
,1,The Cairngorms National Park,S01003767,696,,,TOTAL,,18,14685,
,1,The Cairngorms National Park,S01003771,678,,,,,,,
,1,The Cairngorms National Park,S01000301,579,,,,,,,
,1,The Cairngorms National Park,S01003754,891,,,,,,,
,TOTAL,,22,15461,,,,,,,